,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
89,GeForce 7900 GT,258,2091,1.3,$199.00 
90,GeForce 7950 GT,346,1999,1.45,$239.42 
91,GeForce 7950 GX2,267,2078,4.86,$54.99 
92,GeForce 8300,101,2359,4.48,$22.68 
93,GeForce 8400,81,2415,0.14,$589.99 
94,GeForce 8400 GS,166,2200,1.94,$85.97 
95,GeForce 8400M GS,103,2352,1.32,$78.20 
96,GeForce 8600 GT,141,2243,0.72,$196.00 
97,GeForce 8600 GTS,185,2174,0.77,$241.99 
98,GeForce 8600M GT,163,2208,1.51,$108.10 
99,GeForce 8800 GT,455,1899,2.13,$213.54 
100,GeForce 8800 GTS,405,1949,5.06,$79.99 
101,GeForce 8800 GTX,555,1774,4.63,$119.99 
102,GeForce 8800 Ultra,642,1657,0.89,$723.60 
103,GeForce 9300,126,2284,2.15,$59.00 
104,GeForce 9300 GE,109,2338,4.75,$22.99 
105,GeForce 9300 GS,102,2356,1.71,$59.95 
106,GeForce 9300GE,97,2369,1.01,$97.20 
107,GeForce 9300M GS,128,2278,2.96,$43.42 
108,GeForce 9400 GT,195,2160,2.97,$65.87 
109,GeForce 9500 GT,190,2170,2.21,$85.99 
110,GeForce 9500M,103,2351,1.02,$101.20 
111,GeForce 9600 GSO,323,2027,3.01,$107.39 
112,GeForce 9600 GT,472,1884,7.27,$64.99 
113,GeForce 9600M GT,163,2209,2.09,$78.20 
114,GeForce 9650M GT,137,2255,1.17,$117.30 
115,GeForce 9800 GT,447,1911,2.89,$154.74 
116,GeForce 9800 GTX,769,1528,10.26,$74.99 
117,GeForce 9800 GTX/9800 GTX+,570,1751,6.34,$89.99 
118,GeForce 9800 GX2,612,1698,3.14,$195.00 
119,GeForce 9800M GTX,454,1900,1.38,$328.50 
120,GeForce FX 5200,7,2676,0.06,$129.00 
121,GeForce FX 5200LE,7,2679,0.16,$42.99 
122,GeForce FX 5500,8,2668,0.05,$153.97 
123,GeForce G100,176,2185,8.83,$19.99 
124,GeForce G210,146,2230,1.2,$122.12 
125,GeForce GT 120,186,2173,6.23,$29.99 
126,GeForce GT 130,381,1967,2.52,$151.34 
127,GeForce GT 220,223,2121,5.59,$39.99 
128,GeForce GT 230,323,2026,7.35,$43.99 
129,GeForce GT 240,487,1862,3.03,$160.97 
130,GeForce GT 320,470,1887,14.38,$32.69 
