,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
284,GeForce 7025 / nForce 630a,32,2585,NA,NA
285,GeForce 7050 / nForce 610i,25,2609,NA,NA
286,GeForce 7050 / nForce 620i,41,2533,NA,NA
287,GeForce 7050 / nForce 630i,37,2552,NA,NA
288,GeForce 7050 PV / nForce 630a,31,2589,NA,NA
289,GeForce 7100 / nForce 620i,26,2606,NA,NA
290,GeForce 7100 / nForce 630i,41,2531,NA,NA
291,GeForce 7100 GS,51,2497,NA,NA
292,GeForce 7150 / nForce 630i,33,2581,NA,NA
293,GeForce 7150M / nForce 630M,18,2635,NA,NA
294,GeForce 7200 GS,23,2623,NA,NA
295,GeForce 7300 GS,80,2420,NA,NA
296,GeForce 7300 GT,123,2293,0.82,$149.99*
297,GeForce 7300 LE,81,2411,2.56,$32.00*
298,GeForce 7300 SE,39,2546,NA,NA
299,GeForce 7300 SE/7200 GS,47,2510,NA,NA
300,GeForce 7350 LE,74,2429,NA,NA
301,GeForce 7500 LE,91,2389,NA,NA
302,GeForce 7600 GS,166,2201,1.48,$112.51
303,GeForce 7600 GT,234,2112,1.18,$199.00*
304,GeForce 7650 GS,134,2267,NA,NA
305,GeForce 7800 GS,177,2184,NA,NA
306,GeForce 7800 GT,244,2103,3.05,$80.00*
307,GeForce 7800 GTX,268,2077,3.75,$71.60*
308,GeForce 7900 GS,262,2085,NA,NA
309,GeForce 7900 GT,258,2091,1.30,$199.00*
310,GeForce 7900 GT/GTO,247,2099,NA,NA
311,GeForce 7900 GTX,387,1962,NA,NA
312,GeForce 7950 GT,346,1999,1.45,$239.42*
313,GeForce 7950 GX2,267,2078,4.86,$54.99*
314,GeForce 7950 Xtreme,287,2057,NA,NA
315,GeForce 8100 / nForce 720a,79,2422,NA,NA
316,GeForce 8200,163,2207,NA,NA
317,GeForce 8200M G,65,2461,NA,NA
318,GeForce 8300,101,2359,4.48,$22.68*
319,GeForce 8300 GS,115,2315,NA,NA
320,GeForce 8400,81,2415,0.14,$589.99*
321,GeForce 8400 GS,166,2200,1.94,$85.97*
322,GeForce 8400 SE,68,2451,NA,NA
